Service Description,Service Name,Peer Penetration
Enables clients to view account balances / transaction information in both a high-level summary and detailed formats. This product provides a package of reprots through the default Cash Reports user entitlement - Updated,Access Cash (Transaction) Reporting and Rules Mapping,44
"A spreadsheet plug-in that integrates with J.P. Morgan Access and provides a single view of a client's account information across their banking relationship. Installed through Microsoft Excel, a client is able to create a custom worksheet that can be refreshed with data from JPM or other banking providers' accounts.",Access Insight Reporting (Excel Plug-in),0
"Enables the client to view cash / investment balances associated with a DDA, Physical Cash Concentration structure, and reports (Lee: CFI, CFV, Trovata, etc.)",Access Liquidity Solutions - Visibility,0
Delivery of cash (transaction) reporting via API,Cash Reporting API,0
"(CDR = Current Day Reporting). Transmits files directly to the client's financial systems, automating information reporting delivery.","H2H Reporting (CDR, current-day reporting)",0
(PDR = Prior Day Reporting). Transmits files directly to the client's financial systems automating information reporting delivery.,"H2H Reporting (PDR, prior-day reporting)",1
System that allows clients to view aggregated account information across their entire portfolio and conduct in-dept risk analysis (JPMorgan Asset Management product),Morgan Money - Reporting (Referral to JPM Asset Management,0
Tracks the movement of US physical cash concentration transfers throughout the day. The running net-total reflects the intercompany position.,Intercompany Reporting (US),0
Provides full visibility of all J.P. Morgan accounts globally as well as accounts with third-party banks who send reporting data to JPM.,Multi-Bank Reporting,1
"JPM FinTech partnership. Multi-bank cash management platform that helps clients with cash forecasting, cash flow analysis, and cash reporting. Available as a paid add-on to J.P. Morgan Access.",Trovata,0
"Provides a monthly summary of investments, cash concentration, and pooling on ECD and International DDAs.",Access Liquidity Statements,0
"Structure information service which applies when the client requests Cash Concentration, Multibank (Third Party) Cash Concentration, Intercompany Loans & Reporting, Notional Pooling, and Group Liquidity Management Acccount.",Access Liquidity Solutions - Structures,0
ADT-ULID (Unique Location Indentifiers) Reporting is a cash concentration report that enhances reconciliation of deposit detail through customized transaction reporting. It displays all prior-day transactions in the concentration structure in a single statement at the master account level. Transactions are sub-totaled and organized according to ULID information available.,ADT ULID Reporting,0
"Enables automatic consolidation of cash positions across a client's accounts located at the same JPM branch, different JPM branches, or at a 3rd party bank (also consider selling a Multibank Sweep, in addition, for a structure including a 3rd Part Bank). Provides clients with enhanced efficiency, increased visibility, and more control over liquidity.",Physical Cash Concentration (US),26
Combining one DDA with a virtual account sub-ledger; VAM enables the differentiation of cash activity within a single account. Clients are able to create virtual account structures that mirror their organization improving cash visibility and reducing reliance on physical accounts.,Virtual Account Management (VAM),0
Web-based solution for concentrating funds deposited at remote locations.,ACH Cash Concentration,0
An instruction sent from JPM to initiate a credit request and draw funds from a client's third party bank account into a JPM account.,Drawdown (US) - Inbound Funds,0
An instruction sent from JPM to send funds from a client's JPM account to a bank account at a separate third-party bank.,Drawdown (US) - Outbound Funds,12
